matricule;nom;matière;établissement;genre
D100001;Amina El Fassi;Mathématiques;Lycée Al Khawarizmi;F
D100002;Youssef Berrada;Mathématiques;Lycée Al Khawarizmi;M
D100003;Salma Idrissi;Mathématiques;Lycée Ibn Sina;F
D100004;Karim Tazi;Mathématiques;Lycée Ibn Sina;M
D100005;Nadia Bennani;Français;Lycée Al Khawarizmi;F
D100006;Omar Chraibi;Français;Lycée Ibn Sina;M
D100007;Leila Amrani;Français;Lycée Ibn Sina;F
D100008;Hassan Ouazzani;Français;Lycée Al Khawarizmi;M
D100009;Fatima Zahra Alaoui;SVT;Lycée Al Khawarizmi;F
D100010;Mehdi Benjelloun;SVT;Lycée Ibn Sina;M
D100011;Sara Lahlou;SVT;Lycée Ibn Sina;F
D100012;Rachid Meknassi;SVT;Lycée Al Khawarizmi;M
D100013;Khadija Squalli;Histoire-Géographie;Lycée Al Khawarizmi;F
D100014;Adil Bouazza;Histoire-Géographie;Lycée Ibn Sina;M
D100015;Imane Cherkaoui;Histoire-Géographie;Lycée Ibn Sina;F
D100016;Driss Filali;Histoire-Géographie;Lycée Al Khawarizmi;M
